,bhk,locality,sqft,price_per_sqft,bath,Price_Lakhs,Build_year,Age
600,2,Viman Nagar,1100,7454,2.0,82.0,2006.0,-15.0
601,3,Viman Nagar,2200,7227,3.0,159.0,2010.0,-11.0
602,1,Wagholi,629,5882,1.0,37.0,2017.0,-4.0
603,2,Viman Nagar,980,7908,2.0,77.5,2014.0,-7.0
604,3,Viman Nagar,1600,8750,3.0,140.0,2013.0,-8.0
605,2,Tathawade,686,8454,2.0,58.0,2023.0,2.0
606,2,Moshi,926,4497,2.0,41.65,2023.0,2.0
607,2,Kharadi,1250,7600,2.0,95.0,2019.0,-2.0
608,2,Moshi,926,4481,2.0,41.5,2023.0,2.0
609,3,Viman Nagar,1320,9848,3.0,130.0,2009.0,-12.0
610,2,Moshi,995,4874,2.0,48.5,2023.0,2.0
611,2,Wakad,1005,5671,2.0,57.0,2023.0,2.0
612,2,Keshav Nagar,970,5773,2.0,56.0,2019.0,-2.0
613,4,Kharadi,3385,5908,4.0,200.0,2013.0,-8.0
614,1,Tathawade,600,5333,2.0,32.0,2025.0,4.0
615,3,Viman Nagar,1700,12352,3.0,210.0,2015.0,-6.0
616,3,Kharadi,1544,7383,3.0,113.99999999999999,2015.0,-6.0
617,3,Kharadi,1775,6422,3.0,113.99999999999999,2018.0,-3.0
618,3,Viman Nagar,1600,12500,3.0,200.0,2012.0,-9.0
619,2,Kharadi,1221,9172,1.0,112.00000000000001,2016.0,-5.0
620,2,Viman Nagar,1300,8076,2.0,105.0,2008.0,-13.0
621,4,Mundhwa,2580,10852,4.0,280.0,2011.0,-10.0
622,5,Kharadi,5950,8134,5.0,484.0,2014.0,-7.0
623,2,Viman Nagar,1099,8189,2.0,90.0,2008.0,-13.0
624,4,Kharadi,4088,8317,4.0,340.0,2014.0,-7.0
625,2,Viman Nagar,890,9887,2.0,88.0,2014.0,-7.0
626,4,Kharadi,3435,9024,4.0,310.0,2014.0,-7.0
627,4,Sangamvadi,5344,11227,4.0,600.0,2003.0,-18.0
628,2,Viman Nagar,1000,8500,2.0,85.0,2008.0,-13.0
629,4,Kharadi,4088,8806,4.0,360.0,2016.0,-5.0
630,2,Viman Nagar,1100,7272,2.0,80.0,2009.0,-12.0
631,3,Bavdhan,3025,8264,3.0,250.0,2017.0,-4.0
632,2,Viman Nagar,1100,7090,2.0,78.0,2008.0,-13.0
633,4,Kharadi,3797,9244,4.0,351.0,2014.0,-7.0
634,2,Viman Nagar,880,7727,2.0,68.0,2009.0,-12.0
635,1,Viman Nagar,740,8783,1.0,65.0,2009.0,-12.0
636,2,Viman Nagar,700,8928,2.0,62.5,2003.0,-18.0
637,4,Kharadi,4355,6337,4.0,276.0,2014.0,-7.0
638,1,Viman Nagar,636,9433,2.0,60.0,2006.0,-15.0
639,4,Kharadi,4355,6888,4.0,300.0,2014.0,-7.0
640,3,Kharadi,1850,6540,3.0,121.0,2018.0,-3.0
641,2,Tathawade,1000,4850,,48.5,1899.0,-122.0
642,2,Wagholi,790,4367,2.0,34.5,2018.0,-3.0
643,3,Kharadi,1600,7500,3.0,120.0,2016.0,-5.0
644,2,Wakad,1148,6184,,71.0,2014.0,-7.0
645,2,Wagholi,865,4046,2.0,35.0,2016.0,-5.0
646,3,Kharadi,1500,8000,3.0,120.0,2016.0,-5.0
647,3,Kondhwa,2000,6750,3.0,135.0,2016.0,-5.0
648,2,Kharadi,1350,8740,2.0,118.0,2016.0,-5.0
649,2,NIBM Annex Mohammadwadi,1000,5500,2.0,55.0,2015.0,-6.0
650,2,Kharadi,945,12169,3.0,114.99999999999999,2012.0,-9.0
651,1,Hadapsar,562,5338,1.0,30.0,2012.0,-9.0
652,2,Wagholi,1015,5320,2.0,54.0,2017.0,-4.0
653,3,Kalyani Nagar,1715,6705,3.0,114.99999999999999,2018.0,-3.0
654,3,Kharadi,2845,8084,4.0,229.99999999999997,2019.0,-2.0
655,1,Varale,434,5102,,22.14,2024.0,3.0
656,1,Varale,429,5111,,21.92,2024.0,3.0
657,1,Varale,445,5094,,22.61,2024.0,3.0
658,1,Varale,435,5106,,22.16,2024.0,3.0
659,1,Varale,435,5107,,22.16,2024.0,3.0
660,1,Varale,437,5105,,22.25,2024.0,3.0
661,1,Varale,434,5495,,23.85,2024.0,3.0
662,1,Varale,455,5072,,23.07,2024.0,3.0
663,1,Varale,441,5121,,22.58,2024.0,3.0
664,1,Varale,473,4691,,22.14,2024.0,3.0
665,2,Vadgaon Budruk,676,8284,,56.0,2018.0,-3.0
666,2,Vadgaon Budruk,610,8032,,49.0,2018.0,-3.0
667,1,Vadgaon Budruk,450,8222,,37.0,2018.0,-3.0
668,1,Vadgaon Budruk,465,8602,,40.0,2018.0,-3.0
669,2,Vadgaon Budruk,678,7886,,53.46,2018.0,-3.0
670,2,Vadgaon Budruk,645,7918,,51.07,2018.0,-3.0
