bhk,locality,Price,sqft,status,Possession,price_per_sqft,Age_old,bath
2,Hinjewadi,43.9 L,587,Under Construction,,"6,730 / sq ft",,2
2,Hinjewadi,45.17 L,606,Under Construction,,"6,713 / sq ft",,2
2,Mundhwa,35.09 L,780,Under Construction,Possession by Nov 2023,"4,499 / sq ft",,2
2,Mundhwa,40.31 L,896,Under Construction,Possession by Nov 2023,"4,499 / sq ft",,2
2,Mundhwa,43.91 L,976,Under Construction,Possession by Nov 2023,"4,499 / sq ft",,2
2,Mundhwa,42.69 L,949,Under Construction,Possession by Nov 2023,"4,499 / sq ft",,2
2,Mundhwa,42.83 L,952,Under Construction,Possession by Nov 2023,"4,499 / sq ft",,2
2,Mundhwa,42.87 L,953,Under Construction,Possession by Nov 2023,"4,499 / sq ft",,2
3,Mundhwa,55.92 L,1243,Under Construction,Possession by Nov 2023,"4,499 / sq ft",,3
3,Kharadi,86.94 L,1380,Under Construction,Possession by Sep 2021,"6,300 / sq ft",,3
3,Kharadi,87.19 L,1384,Under Construction,Possession by Sep 2021,"6,300 / sq ft",,3
3,Kharadi,95.03 L,1558,Under Construction,Possession by Sep 2021,"6,100 / sq ft",,3
3,Kharadi,95.46 L,1565,Under Construction,Possession by Sep 2021,"6,100 / sq ft",,3
3,Kharadi,1.07 Cr,1151,Under Construction,Possession by Sep 2021,"9,355 / sq ft",,3
3,Kharadi,1.47 Cr,1572,Under Construction,Possession by Sep 2021,"9,355 / sq ft",,3
3,Kharadi,1.08 Cr,1156,Under Construction,Possession by Sep 2021,"9,355 / sq ft",,3
3,Kharadi,95.65 L,1022,Under Construction,Possession by Sep 2021,"9,355 / sq ft",,3
3,Kharadi,95.21 L,1018,Under Construction,Possession by Sep 2021,"9,355 / sq ft",,3
3,Kharadi,1.33 Cr,1424,Under Construction,Possession by Sep 2021,"9,355 / sq ft",,3
3,Kothrud,1.2 Cr,1178,Ready to move,,"10,186 / sq ft",,
3,Kothrud,1.89 Cr,1350,Ready to move,,"14,000 / sq ft",,3
4,Karve Nagar,2.2 Cr,1300,Ready to move,,"16,923 / sq ft",,
2,Karve Nagar,1.15 Cr,1100,Ready to move,,"10,454 / sq ft",,
2,Kothrud,80 L,750,Ready to move,,"10,666 / sq ft",,
2,Bavdhan,76 L,1144,Ready to move,,"6,643 / sq ft",,
3,Kothrud,1.1 Cr,1250,Ready to move,,"8,800 / sq ft",,
3,Kothrud,95 L,1200,Ready to move,,"7,916 / sq ft",,
2,Kothrud,90 L,1100,Ready to move,,"8,181 / sq ft",,
3,Kothrud,1.37 Cr,1376,Ready to move,,"9,956 / sq ft",,
2,Kothrud,1.15 Cr,1000,Ready to move,,"11,500 / sq ft",,
2,Kothrud,1.05 Cr,950,Ready to move,,"11,052 / sq ft",,
2,Kothrud,1.2 Cr,1094,Ready to move,,"10,968 / sq ft",,
2,Mundhwa,1.05 Cr,1750,Ready to move,,"6,000 / sq ft",3,3
2,Wadgaon Sheri,1.2 Cr,1097,Ready to move,,"11,000 / sq ft",2,3
3,Wadgaon Sheri,1.66 Cr,1513,Ready to move,,"11,000 / sq ft",2,4
3,Wadgaon Sheri,1.31 Cr,1192,Ready to move,,"11,000 / sq ft",2,3
